id,amount,activities_time,source
991,600,2019-09-26,Cash Sale
991,1500,2019-09-26,Cash Sale
1051,3,2019-11-09,Cash Sale
1040,300,2019-11-09,Cash Sale
1242,750,2019-11-13,Cash Sale
1039,63,2019-11-09,Cash Sale
1030,1950,2019-11-08,Cash Sale
1014,210,2019-11-07,Cash Sale
1046,4500,2019-11-09,Cash Sale
1046,0,2019-11-09,Cash Sale
1002,300,2019-11-07,Cash Sale
1235,270,2019-11-13,Cash Sale
1019,300,2019-11-08,Cash Sale
1055,16500,2019-11-12,Cash Sale
1235,45,2019-11-13,Cash Sale
1312,3000,2019-11-13,Cash Sale
1306,12000,2019-11-13,Cash Sale
1306,9000,2019-11-13,Cash Sale
1045,30,2019-11-09,Cash Sale
1306,16800,2019-11-13,Cash Sale
1306,22464,2019-11-13,Cash Sale
1253,60,2019-11-13,Cash Sale
1323,939,2019-11-13,Cash Sale
1053,300,2019-11-10,Cash Sale
1382,30,2019-11-14,Cash Sale
995,12,2019-11-06,Cash Sale
1192,300,2019-11-12,Cash Sale
1052,30,2019-11-09,Cash Sale
1052,3,2019-11-09,Cash Sale
1052,3,2019-11-09,Cash Sale
1185,3450,2019-11-12,Cash Sale
1311,3150,2019-11-13,Cash Sale
1052,3,2019-11-09,Cash Sale
1052,3,2019-11-09,Cash Sale
1052,6,2019-11-09,Cash Sale
1052,9,2019-11-09,Cash Sale
1307,291,2019-11-13,Cash Sale
1034,4500,2019-11-08,Cash Sale
1052,12,2019-11-09,Cash Sale
1075,9000,2019-11-12,Cash Sale
1138,45,2019-11-12,Cash Sale
1187,30,2019-11-20,Cash Sale
1210,150,2019-11-12,Cash Sale
1052,15,2019-11-09,Cash Sale
1052,18,2019-11-09,Cash Sale
1052,21,2019-11-09,Cash Sale
1052,24,2019-11-09,Cash Sale
1052,27,2019-11-09,Cash Sale
1052,30,2019-11-09,Cash Sale
1055,13500,2019-11-12,Cash Sale
1723,15000,2019-11-19,Cash Sale
1303,30,2019-11-13,Cash Sale
1210,180,2019-11-12,Cash Sale
