id,amount,activities_time,source
991,600.0,2019-09-26,Cash Sale
991,1500.0,2019-09-26,Cash Sale
1051,3.0,2019-11-09,Cash Sale
1040,300.0,2019-11-09,Cash Sale
1242,750.0,2019-11-13,Cash Sale
1039,63.0,2019-11-09,Cash Sale
1030,1950.0,2019-11-08,Cash Sale
1014,210.0,2019-11-07,Cash Sale
1046,4500.0,2019-11-09,Cash Sale
1046,0.0,2019-11-09,Cash Sale
1002,300.0,2019-11-07,Cash Sale
1235,270.0,2019-11-13,Cash Sale
1019,300.0,2019-11-08,Cash Sale
1055,16500.0,2019-11-12,Cash Sale
1235,45.0,2019-11-13,Cash Sale
1312,3000.0,2019-11-13,Cash Sale
1306,12000.0,2019-11-13,Cash Sale
1306,9000.0,2019-11-13,Cash Sale
1045,30.0,2019-11-09,Cash Sale
1306,16800.0,2019-11-13,Cash Sale
1306,22464.0,2019-11-13,Cash Sale
1253,60.0,2019-11-13,Cash Sale
1323,939.0,2019-11-13,Cash Sale
1053,300.0,2019-11-10,Cash Sale
1382,30.0,2019-11-14,Cash Sale
995,12.0,2019-11-06,Cash Sale
1192,300.0,2019-11-12,Cash Sale
1052,30.0,2019-11-09,Cash Sale
1052,3.0,2019-11-09,Cash Sale
1052,3.0,2019-11-09,Cash Sale
1333,180000.0,2019-11-13,Cash Sale
1185,3450.0,2019-11-12,Cash Sale
1311,3150.0,2019-11-13,Cash Sale
1052,3.0,2019-11-09,Cash Sale
1052,3.0,2019-11-09,Cash Sale
1052,6.0,2019-11-09,Cash Sale
1052,9.0,2019-11-09,Cash Sale
1307,291.0,2019-11-13,Cash Sale
1034,4500.0,2019-11-08,Cash Sale
1052,12.0,2019-11-09,Cash Sale
1075,9000.0,2019-11-12,Cash Sale
1138,45.0,2019-11-12,Cash Sale
1187,30.0,2019-11-20,Cash Sale
1210,150.0,2019-11-12,Cash Sale
1052,15.0,2019-11-09,Cash Sale
1052,18.0,2019-11-09,Cash Sale
1052,21.0,2019-11-09,Cash Sale
1052,24.0,2019-11-09,Cash Sale
1052,27.0,2019-11-09,Cash Sale
1052,30.0,2019-11-09,Cash Sale
1055,13500.0,2019-11-12,Cash Sale
1723,15000.0,2019-11-19,Cash Sale
1303,30.0,2019-11-13,Cash Sale
1210,180.0,2019-11-12,Cash Sale
1223,90.0,2019-11-13,Cash Sale
1303,30.0,2019-11-13,Cash Sale
1317,390.0,2019-11-13,Cash Sale
1303,60.0,2019-11-13,Cash Sale
1244,2640.0,2019-11-13,Cash Sale
1303,60.0,2019-11-13,Cash Sale
